name,id
"White-tailed Black-cockatoo (Calyptorhynchus baudinii)","Calyptorhynchus_baudinii"
"Baudin's Black Cockatoo (Calyptorhynchus baudinii)","Calyptorhynchus_baudinii"
"Yellow-tailed Black-cockatoo (Calyptorhynchus funereus)","Calyptorhynchus_funereus"
"Yellow-tailed Black Cockatoo (Calyptorhynchus funereus)","Calyptorhynchus_funereus"
"Black Cockatoo, Funeral Cockatoo, Wylah (Calyptorhynchus funereus)","Calyptorhynchus_funereus"
"Cockatoo (Calyptorhynchus funereus)","Calyptorhynchus_funereus"
"Glossy Black-cockatoo (Calyptorhynchus lathami)","Calyptorhynchus_lathami"
"Glossy Black Cockatoo (Calyptorhynchus lathami)","Calyptorhynchus_lathami"
"Cockatoo (Calyptorhynchus lathami)","Calyptorhynchus_lathami"
"Glossy Black-cockatoo, Riverina Population (Calyptorhynchus lathami)","Calyptorhynchus_lathami"
"Carnaby's Black-cockatoo (Calyptorhynchus latirostris)","Calyptorhynchus_latirostris"
"Carnaby�s Black Cockatoo (Calyptorhynchus latirostris)","Calyptorhynchus_latirostris"
"Short-billed Black-cockatoo (Calyptorhynchus latirostris)","Calyptorhynchus_latirostris"
"Carnaby's Black Cockatoo (Calyptorhynchus latirostris)","Calyptorhynchus_latirostris"
"White-tailed Black Cockatoo, Carnaby's Cockatoo (Calyptorhynchus latirostris)","Calyptorhynchus_latirostris"
"Short-billed Black Cockatoo (Calyptorhynchus latirostris)","Calyptorhynchus_latirostris"
"Slender-billed Black-cockatoo (Calyptorhynchus latirostris)","Calyptorhynchus_latirostris"
"Large-tailed Nightjar (Caprimulgus macrurus)","Caprimulgus_macrurus"
"European Goldfinch (Carduelis carduelis)","Carduelis_carduelis"
"Goldfinch (Carduelis carduelis)","Carduelis_carduelis"
"Eurasian Goldfinch (Carduelis carduelis)","Carduelis_carduelis"
"Greenfinch (Carduelis chloris)","Carduelis_chloris"
"European Greenfinch (Carduelis chloris)","Carduelis_chloris"
